Программист 1С ERP;Екатеринбург;Уральский завод гражданской авиации;1С: Управление Производственным Предприятием, Обучение и развитие, ERP Systems, 1С: Документооборот, 1С программирование, 1С: Зарплата и управление персоналом, 1С: Предприятие 8, Управление проектами, 1С: Производство, 1С: Управление предприятием, 
Ведущий менеджер по продажам;Екатеринбург;Аривист;B2B Продажи, Ведение переговоров, Поиск и привлечение клиентов, Активные продажи, 
Грузчик (Эльмаш);Екатеринбург;Гермес;
Кладовщик / Комплектовщик;Баранчинский;Пятёрочка;
Водитель-экспедитор категории Е;Екатеринбург;Delko;
Кладовщик / Комплектовщик;Бисерть;Пятёрочка;
Швея (втузгородок);Екатеринбург;Карьера, г. Екатеринбург;
Менеджер по работе со строительными организациями;Екатеринбург;САТУРН УРАЛ;
Менеджер по продаже недвижимости;Екатеринбург;Этажи, федеральная компания;
Senior Java Engineer;Екатеринбург;DataArt;Java, SQL, ООП, TDD, Spring Framework, JavaScript, Английский язык, 
Ученик водителя автобуса городского пассажирского маршрута в филиал Учебно-курсовой комбинат;Екатеринбург;ГУП Мосгортранс;
Уборщик производственных и служебных помещений;Рефтинский;Птицефабрика Рефтинская;
Инженер-конструктор (гидравлик);Екатеринбург;Люди Дела;Компас-3D, ЕСКД, SolidWorks, AutoCAD, САПР, Ведение переписки, разработка чертежей, 3D Моделирование, нормативно-техническая документация, Компас, Разработка проектной документации, гидравлика, машиностроение, 
Менеджер по развитию корпоративных клиентов (KAM);Екатеринбург;СКБ Контур;B2B Продажи, Развитие ключевых клиентов, Ведение переговоров, Телефонные переговоры, Навыки презентации, Key Account Management, Корпоративные продажи, Деловое общение, Продажи юридическим лицам, Навыки продаж, Продажа комплексных проектов, Активные продажи, 
Senior Python Developer;Екатеринбург;DataArt;Python, Django Framework, JavaScript, CSS3, HTML5, 
Менеджер по продажам ЖБИ;Заречный (Свердловская область);СК ИНТЕГ;1С: Предприятие 8, Ведение переговоров, Заключение договоров, 1С-Битрикс, 
Электромонтер;Екатеринбург;ГАУЗ СО Областная детская клиническая больница;3 группа по электробезопасности, 
Кладовщик / Комплектовщик;Арти;Пятёрочка;
Генпланист (направление городской среды);Екатеринбург;Форум-групп, Холдинг;AutoCAD, Adobe Photoshop, CorelDRAW, MS PowerPoint, SketchUp, 
Кладовщик / Комплектовщик;Рефтинский;Пятёрочка;
Продавец-кассир;Екатеринбург;Бристоль, сеть магазинов;продавец, кассир, продавец кассир, продавец консультант, работа на кассе, начинающий специалист, без опыта, продавец продуктов питания, продавец в магазин, сменный график, работа в магазине, белая заработная плата, официальное трудоустройство, рядом с домом, 
Кладовщик / Комплектовщик;Белоярский (Свердловская область);Пятёрочка;
Электромонтер по ремонту и обслуживанию электрооборудования;Асбест;Птицефабрика Рефтинская;
Руководитель технического отдела;Екатеринбург;Завод КТтрон;AutoCAD, Руководство коллективом, Разработка регламентов, Организаторские навыки, Проектная документация, Разработка проектной документации, Строительство, Разработка инструкций, Управление по целям, Чтение чертежей, Пользователь ПК, Умение работать в коллективе, 
Риелтор (р-н Уралмаш);Екатеринбург;Этажи, федеральная компания;Подбор недвижимости по запросу клиента, продажа недвижимости, Коммерческая недвижимость, Жилая недвижимость, Загородная недвижимость, Оценка недвижимости, Управление продажами, Активные продажи, Холодные продажи, Поиск и привлечение клиентов, Заключение договоров, Прямые продажи, Проведение презентаций, Навыки продаж, Телефонные переговоры, Деловая переписка, 
Младший воспитатель;Екатеринбург;МБДОУ - детский сад № 146;
Программист 1C;Екатеринбург;АльянсКомплект;1С программирование, Обучение и развитие, Работа в команде, Аналитические способности, Корпоративная этика, 
Менеджер по продажам веб-сервисов;Екатеринбург;СКБ Контур;B2B Продажи, Активные продажи, Холодные продажи, Заключение договоров, Навыки продаж, Ведение переговоров, Поиск и привлечение клиентов, Телефонные переговоры, Проведение презентаций, Холодные звонки, Деловая переписка, Деловое общение, Отработка возражений, 
Инженер-технолог по мехобработке;Екатеринбург;Региональный Центр Лазерных Технологий;
Мастер строительных и монтажных работ;Екатеринбург;Группа ЛСР;Гражданское строительство, Производство строительно-монтажных работ, Сопровождение строительства, 
Помощник повара;Екатеринбург;МБДОУ - детский сад № 146;
Инженер-технолог на станки ЧПУ (объемная лазерная обработка);Екатеринбург;Региональный Центр Лазерных Технологий;
Врач-трансфузиолог;Краснотурьинск;ГБУЗ СО ОСПК;
Техник-универсал (сантехника, электрика);Екатеринбург;ТЭН;Работа в команде, Управление производственным персоналом, Продвижение объекта, MS Project Expert, Пользователь ПК, 
Кладовщик / Комплектовщик;Дружинино;Пятёрочка;
Начальник отдела тестирования ПО;Екатеринбург;Содружество, Группа компаний;
Начинающий специалист;Первоуральск;МТС;
Менеджер по продажам (малоэтажное строительство);Екатеринбург;Строительный Двор;
Буфетчик стационара;Екатеринбург;ГАУЗ СО Областная детская клиническая больница;
Менеджер по продажам;Березовский (Свердловская область);Связной;
Senior/Middle Android-разработчик;Екатеринбург;Тинькофф;
Senior QA Engineer;Екатеринбург;DataArt;Scrum, Test case, Функциональное тестирование, Английский язык, Тестирование, 
Медицинская сестра процедурная;Екатеринбург;ГАУЗ СО Областная детская клиническая больница;
